CL_RN,COMERCIO_CON_MAS_CONSUMO,LIM_CREDITO,ANIO_COSECHA,COD_MORA,PAGO_CONTADO,METAL_TJT,COD_RANGO_EDAD
153,SUPERMERCADOS,23104.0,2018,0,N,6,7.0
154,RESTAURANTES,7320.0,2022,0,N,5,7.0
155,GASOLINERAS,72584.0,2021,0,N,3,7.0
156,RESTAURANTES,36000.0,2022,0,S,4,8.0
157,ALOJAMIENTO,19496.0,2021,0,N,4,7.0
158,SUPERMERCADOS,26000.0,2021,0,S,6,8.0
159,ENTRETENIMIENTO - DEPORTES,13456.0,2022,0,N,4,6.0
160,RESTAURANTES,9000.0,2014,0,S,6,11.0
161,GASOLINERAS,54400.0,2022,0,S,1,6.0
162,SUPERMERCADOS,16800.0,2021,0,N,4,7.0
163,TELECOMUNICACIONES,19264.0,2022,0,N,4,7.0
164,GASOLINERAS,4000.0,2022,0,N,6,11.0
165,ENTRETENIMIENTO - PARQUES,16056.0,2021,0,N,4,7.0
166,AUTOMOTRIZ,27808.0,2020,0,N,4,6.0
167,RESTAURANTES,97160.0,2019,0,N,4,7.0
168,GASOLINERAS,24000.0,2021,0,N,4,8.0
169,MEDICINA,80000.0,2021,0,N,3,7.0
170,RESTAURANTES,14968.0,2021,0,S,4,7.0
171,AUTOMOTRIZ,25040.0,2020,0,N,4,8.0
171,AUTOMOTRIZ,27544.0,2021,0,N,1,8.0
172,SUPERMERCADOS,7496.0,2022,0,N,6,11.0
173,RESTAURANTES,33432.0,2015,0,N,4,7.0
174,RESTAURANTES,18200.0,2015,0,N,5,7.0
175,RESTAURANTES,6600.0,2022,0,N,6,7.0
176,COMIDA/ABARROTES,78000.0,2018,0,N,4,9.0
177,RESTAURANTES,30000.0,2020,0,N,3,7.0
178,SUPERMERCADOS,21520.0,2019,0,N,4,7.0
179,SUPERMERCADOS,8000.0,2022,0,N,5,7.0
180,RESTAURANTES,11704.0,2015,0,N,6,9.0
180,RESTAURANTES,17600.0,2016,0,N,4,9.0
181,PLANTAS,90080.0,2020,0,N,4,9.0
182,SUPERMERCADOS,6760.0,2020,0,N,6,7.0
183,TRANSPORTE,28096.0,2021,0,S,1,10.0
184,RESTAURANTES,20800.0,2019,0,N,4,7.0
185,SUPERMERCADOS,21976.0,2022,0,N,6,8.0
186,SUPERMERCADOS,18000.0,2021,0,N,4,7.0
187,TELECOMUNICACIONES,13840.0,2018,0,N,5,8.0
187,TELECOMUNICACIONES,31160.0,2021,0,N,1,8.0
188,GASOLINERAS,55920.0,2019,0,N,4,9.0
189,SUPERMERCADOS,18880.0,2019,0,N,6,12.0
190,SUPERMERCADOS,40000.0,2019,0,N,4,7.0
191,GASOLINERAS,7696.0,2021,0,N,5,7.0
192,SUPERMERCADOS,15752.0,2022,0,N,4,8.0
193,ARTE,34240.0,2015,0,N,6,7.0
194,TIENDAS/ALMACENES DEPARTAMENTALES,19800.0,2022,0,N,6,7.0
195,SUPERMERCADOS,60440.0,2018,0,N,6,9.0
196,RESTAURANTES,27000.0,2019,0,N,1,8.0
197,RESTAURANTES,15512.0,2021,0,N,4,7.0
199,TIENDAS/ALMACENES DEPARTAMENTALES,6800.0,2021,0,N,6,8.0
200,RESTAURANTES,44200.0,2018,0,N,3,5.0
201,RESTAURANTES,29720.0,2020,0,N,4,9.0
202,SUPERMERCADOS,40000.0,2022,0,N,1,9.0
203,SUPERMERCADOS,12000.0,2022,0,N,4,6.0
204,RECURRENTES,4000.0,2021,0,N,6,5.0
205,ORGANISMOS,36448.0,2013,0,N,5,6.0
206,TELECOMUNICACIONES,13000.0,2021,0,N,4,7.0
207,TELECOMUNICACIONES,4000.0,2021,0,N,6,7.0
208,RESTAURANTES,9896.0,2019,0,N,5,7.0
209,MEDICINA,4400.0,2021,0,S,6,6.0
210,SUPERMERCADOS,6160.0,2020,0,N,5,8.0
211,GASOLINERAS,25496.0,2019,0,S,1,7.0
212,ORGANISMOS,41952.0,2021,0,S,3,6.0
213,RESTAURANTES,8000.0,2019,0,N,6,7.0
214,TELECOMUNICACIONES,26248.0,2021,0,N,1,9.0
215,CONSTRUCCIÓN,10064.0,2021,0,N,6,8.0
216,SUPERMERCADOS,9360.0,2017,0,N,6,6.0
217,SUPERMERCADOS,8000.0,2022,0,S,5,5.0
218,RECURRENTES,8000.0,2019,0,N,5,6.0
219,SUPERMERCADOS,11880.0,2019,0,N,6,8.0
220,ALQUILER DE AUTOS,12000.0,2020,0,N,4,8.0
221,RESTAURANTES,40000.0,2020,0,N,2,12.0
221,RESTAURANTES,57200.0,2021,0,N,2,12.0
222,TELECOMUNICACIONES,42000.0,2019,0,N,1,12.0
223,SUPERMERCADOS,12000.0,2022,0,N,4,8.0
224,SUPERMERCADOS,4000.0,2021,0,N,6,9.0
225,SUPERMERCADOS,45000.0,2019,0,N,6,7.0
226,SUPERMERCADOS,16096.0,2022,0,N,6,10.0
227,SUPERMERCADOS,5200.0,2013,0,S,6,9.0
228,SUPERMERCADOS,4000.0,2021,0,S,6,9.0
229,TELECOMUNICACIONES,4000.0,2021,0,N,6,9.0
230,RESTAURANTES,18000.0,2021,0,N,4,7.0
231,AUTOMOTRIZ,80000.0,2021,0,N,2,7.0
232,GASOLINERAS,70080.0,2021,0,N,1,9.0
233,SUPERMERCADOS,22128.0,2021,0,N,1,9.0
234,EDUCACIÓN,15600.0,2016,0,N,5,8.0
234,EDUCACIÓN,17160.0,2021,0,N,4,8.0
235,RESTAURANTES,27600.0,2012,0,S,5,12.0
236,RESTAURANTES,45200.0,2016,0,N,5,8.0
237,SUPERMERCADOS,8000.0,2022,0,N,5,8.0
238,TELECOMUNICACIONES,21600.0,2022,0,S,6,8.0
239,TELECOMUNICACIONES,18024.0,2011,0,N,6,5.0
240,GASOLINERAS,6760.0,2018,0,N,6,8.0
241,RESTAURANTES,10000.0,2017,0,N,6,8.0
242,MEDICINA,21320.0,2022,0,N,6,7.0
243,ENTRETENIMIENTO - PARQUES,36000.0,2022,0,N,1,8.0
244,TELECOMUNICACIONES,12816.0,2020,0,N,5,6.0
245,RECURRENTES,4000.0,2021,0,S,6,6.0
246,RESTAURANTES,8800.0,2021,0,S,6,6.0
247,SUPERMERCADOS,4728.0,2022,0,N,5,6.0
248,TELECOMUNICACIONES,87200.0,2014,0,N,6,8.0
249,RESTAURANTES,22800.0,2022,0,N,1,7.0
250,SUPERMERCADOS,28000.0,2022,0,N,1,6.0
251,RESTAURANTES,80000.0,2021,0,S,6,6.0
252,TELECOMUNICACIONES,6520.0,2019,0,N,6,7.0
252,TELECOMUNICACIONES,7168.0,2020,0,N,5,7.0
253,CONSTRUCCIÓN,67696.0,2021,0,N,1,11.0
254,SUPERMERCADOS,28040.0,2012,0,N,6,7.0
255,TELECOMUNICACIONES,80000.0,2021,0,N,2,7.0
256,JUGUETERÍAS,60000.0,2021,0,N,2,7.0
257,SUPERMERCADOS,59280.0,2012,0,N,6,7.0
258,RESTAURANTES,22536.0,2019,0,N,4,7.0
258,RESTAURANTES,32200.0,2020,0,N,1,7.0
259,SUPERMERCADOS,80000.0,2022,0,N,2,9.0
260,RESTAURANTES,10400.0,2019,0,N,6,7.0
261,RESTAURANTES,25520.0,2021,0,N,4,7.0
